PSAVERT,PCE,UEMPMED,POP,UNEMPLOY
12.6,506.7,4.5,198712,2944
12.6,509.8,4.7,198911,2945
11.9,515.6,4.6,199113,2958
12.9,512.2,4.9,199311,3143
12.8,517.4,4.7,199498,3066
11.8,525.1,4.8,199657,3018
11.7,530.9,5.1,199808,2878
12.3,533.6,4.5,199920,3001
11.7,544.3,4.1,200056,2877
12.3,544,4.6,200208,2709
12,549.8,4.4,200361,2740
11.7,556.3,4.4,200536,2938
10.7,563.2,4.5,200706,2883
10.5,567,4.2,200898,2768
10.6,568.2,4.6,201095,2686
10.8,571.6,4.8,201290,2689
10.6,576.7,4.4,201466,2715
11.1,576.5,4.4,201621,2685
10.3,583.5,4.4,201760,2718
9.7,588.7,4.9,201881,2692
10.2,588.9,4,202023,2712
9.7,593.9,4,202161,2758
10.1,600.3,4.2,202331,2713
11.1,600.9,4.4,202507,2816
11.8,602.7,4.4,202677,2868
11.5,609.9,4.4,202877,2856
11.6,613.2,4.7,203090,3040
11.4,618.5,4.5,203302,3049
11.6,620.5,4.8,203500,2856
11.8,622.8,4.6,203675,2884
11.8,628.7,4.6,203849,3201
11.7,634,4.5,204008,3453
12.4,632.3,4.6,204156,3635
13.3,636,4.1,204401,3797
12.4,642.4,4.7,204607,3919
12.3,646.3,4.9,204830,4071
13.5,648.5,5.1,205052,4175
13.4,652.9,5.4,205295,4256
12.9,659.1,5.2,205540,4456
13.1,658.3,5.2,205788,4591
13.6,656.6,5.6,206024,4898
13.2,665.6,5.9,206238,5076
13.3,676.1,6.2,206466,4986
13.3,679.4,6.3,206668,4903
13.5,682,6.4,206855,4987
13.2,688.8,6.5,207065,4959
13.6,691.1,6.7,207260,4996
14.7,699.8,5.7,207462,4949
13.8,698.9,6.2,207661,5035
13.6,704.9,6.4,207881,5134
13.3,713,5.8,208114,5042
13.3,715.8,6.5,208345,4954
13.1,720.9,6.4,208555,5161
13,728.4,6.2,208740,5154
12.5,731.5,6.2,208917,5019
12.8,736.2,6.6,209061,4928
11.8,749.2,6.6,209212,5038
11.5,752.5,6.7,209386,4959
11.7,758,6.6,209545,4922
11.7,761.6,5.4,209725,4923
11.7,769.9,6.1,209896,4913
12,776.3,6,210075,4939
12.2,781.1,5.6,210278,4849
13,794.9,5.7,210479,4875
13.6,800.5,5.7,210656,4602
13.7,806.1,6.1,210821,4543
12.4,816.5,5.7,210985,4326
12.5,825.8,5.2,211120,4452
12.7,832.8,5.5,211254,4394
13.2,835.7,5,211420,4459
13.2,841.6,4.9,211577,4329
13.6,844.3,5,211746,4363
13.2,854.1,5.2,211909,4305
13.9,853.3,4.9,212092,4305
13.1,869.2,5.4,212289,4350
14.4,868.2,5.5,212475,4144
14.4,876.9,5.1,212634,4396
14.8,876.6,4.7,212785,4489
14.3,884.5,5,212932,4644
14.2,889.7,5.1,213074,4731
13.4,901.4,4.8,213211,4634
13.1,910.8,5,213361,4618
12.8,922.4,4.6,213513,4705
12.8,928,5.3,213686,4927
12.8,937.9,5.7,213854,5063
12.1,954.8,5,214042,5022
12.9,955.1,5.3,214246,5437
13.4,959.2,5.5,214451,5523
13.8,956.2,5.2,214625,6140
14,961.8,5.7,214782,6636
13.2,975.6,6.3,214931,7501
12.5,989.4,7.1,215065,7520
12.7,990.6,7.2,215198,7978
14.2,995,8.7,215353,8210
17.3,1018.9,9.4,215523,8433
14.3,1026.8,8.8,215768,8220
12.6,1039.8,8.6,215973,8127
13,1047,9.2,216195,7928
13,1054.8,9.2,216393,7923
13.4,1060.9,8.6,216587,7897
12.7,1075.8,9.5,216771,7794
12,1092.1,9,216931,7744
11.7,1107.1,9,217095,7534
12.3,1107.7,8.2,217249,7326
12.2,1114.9,8.7,217381,7230
11.7,1125.4,8.2,217528,7330
12.3,1122.7,8.3,217685,7053
11.4,1140.5,7.8,217861,7322
11.7,1149.6,7.7,218035,7490
11.7,1158,7.9,218233,7518
11.4,1168.8,7.8,218440,7380
11.1,1176.8,7.7,218644,7430
11.4,1189,8.4,218834,7620
10.6,1211.5,8,219006,7545
10.6,1215,7.5,219179,7280
9.3,1231.3,7.2,219344,7443
10.5,1238.3,7.2,219504,7307
10.5,1247.3,7.3,219684,7059
10.3,1257.1,7.9,219859,6911
10.6,1263.6,6.2,220046,7134
10.5,1280.5,7.1,220239,6829
10.9,1285.7,7,220458,6925
11.1,1294.5,6.7,220688,6751
11,1311.4,6.9,220904,6763
11.2,1327,7,221109,6815
11.4,1336,6.8,221303,6386
11.9,1329.5,6.5,221477,6489
11.1,1355.1,6.7,221629,6318
11,1377.5,6.2,221792,6337
10.8,1396.4,6.1,221991,6180
10.3,1412,5.7,222176,6127
10,1425.8,6,222379,6028
10.9,1426.8,5.8,222585,6309
10.5,1447,5.8,222805,6080
10.6,1452.9,5.6,223053,6125
10.7,1466.9,5.9,223271,5947
10.5,1480.6,5.5,223477,6077
